cpu_ts,rgb_ts,filename
1608115505099,1608115505013,RGB_105
1608115505137,1608115505047,RGB_106
1608115505198,1608115505081,RGB_107
1608115505231,1608115505115,RGB_108
1608115505273,1608115505148,RGB_109
1608115505305,1608115505182,RGB_110
1608115505340,1608115505216,RGB_111
1608115505365,1608115505250,RGB_112
1608115505398,1608115505284,RGB_113
1608115505432,1608115505318,RGB_114
1608115505468,1608115505352,RGB_115
1608115505499,1608115505386,RGB_116
1608115505533,1608115505419,RGB_117
1608115505567,1608115505453,RGB_118
1608115505602,1608115505487,RGB_119
1608115505634,1608115505521,RGB_120
1608115505668,1608115505555,RGB_121
1608115505701,1608115505589,RGB_122
1608115505733,1608115505623,RGB_123
1608115505767,1608115505656,RGB_124
1608115505800,1608115505690,RGB_125
1608115505834,1608115505724,RGB_126
1608115505867,1608115505758,RGB_127
1608115505906,1608115505792,RGB_128
1608115505934,1608115505825,RGB_129
1608115505967,1608115505860,RGB_130
1608115506001,1608115505894,RGB_131
1608115506034,1608115505928,RGB_132
1608115506068,1608115505963,RGB_133
1608115506101,1608115505997,RGB_134
1608115506138,1608115506031,RGB_135
1608115506168,1608115506066,RGB_136
1608115506201,1608115506100,RGB_137
1608115506235,1608115506135,RGB_138
1608115506269,1608115506169,RGB_139
1608115506303,1608115506203,RGB_140
1608115506337,1608115506238,RGB_141
1608115506371,1608115506272,RGB_142
1608115506402,1608115506307,RGB_143
1608115506436,1608115506341,RGB_144
1608115506470,1608115506375,RGB_145
1608115506509,1608115506410,RGB_146
1608115506540,1608115506444,RGB_147
1608115506572,1608115506479,RGB_148
1608115506605,1608115506513,RGB_149
1608115506637,1608115506548,RGB_150
1608115506675,1608115506582,RGB_151
1608115506704,1608115506617,RGB_152
1608115506770,1608115506651,RGB_153
1608115506804,1608115506686,RGB_154
1608115506837,1608115506720,RGB_155
1608115506870,1608115506755,RGB_156
1608115506904,1608115506789,RGB_157
1608115506938,1608115506824,RGB_158
1608115506971,1608115506858,RGB_159
1608115507005,1608115506893,RGB_160
1608115507038,1608115506928,RGB_161
1608115507071,1608115506963,RGB_162
1608115507104,1608115506998,RGB_163
1608115507138,1608115507033,RGB_164
1608115507175,1608115507068,RGB_165
1608115507209,1608115507103,RGB_166
1608115507242,1608115507138,RGB_167
1608115507275,1608115507173,RGB_168
1608115507309,1608115507208,RGB_169
1608115507342,1608115507243,RGB_170
1608115507377,1608115507279,RGB_171
1608115507409,1608115507314,RGB_172
1608115507442,1608115507349,RGB_173
1608115507476,1608115507384,RGB_174
1608115507510,1608115507419,RGB_175
1608115507543,1608115507454,RGB_176
1608115507576,1608115507490,RGB_177
1608115507606,1608115507525,RGB_178
1608115507639,1608115507560,RGB_179
1608115507673,1608115507595,RGB_180
1608115507707,1608115507631,RGB_181
1608115507740,1608115507666,RGB_182
1608115507773,1608115507701,RGB_183
1608115507807,1608115507736,RGB_184
1608115507867,1608115507772,RGB_185
1608115507900,1608115507807,RGB_186
1608115507927,1608115507842,RGB_187
1608115507961,1608115507878,RGB_188
1608115507994,1608115507912,RGB_189
1608115508033,1608115507946,RGB_190
1608115508061,1608115507980,RGB_191
1608115508095,1608115508015,RGB_192
1608115508128,1608115508049,RGB_193
1608115508162,1608115508083,RGB_194
1608115508197,1608115508117,RGB_195
1608115508228,1608115508151,RGB_196
1608115508267,1608115508185,RGB_197
1608115508299,1608115508220,RGB_198
1608115508330,1608115508254,RGB_199
1608115508367,1608115508288,RGB_200
1608115508397,1608115508322,RGB_201
1608115508452,1608115508356,RGB_202
1608115508518,1608115508391,RGB_203
1608115508552,1608115508425,RGB_204
1608115508582,1608115508459,RGB_205
1608115508616,1608115508493,RGB_206
1608115508649,1608115508527,RGB_207
1608115508682,1608115508562,RGB_208
1608115508716,1608115508596,RGB_209
1608115508757,1608115508630,RGB_210
1608115508791,1608115508664,RGB_211
1608115508820,1608115508698,RGB_212
1608115508854,1608115508733,RGB_213
1608115508883,1608115508767,RGB_214
1608115508916,1608115508801,RGB_215
1608115508950,1608115508835,RGB_216
1608115508983,1608115508869,RGB_217
1608115509017,1608115508904,RGB_218
1608115509050,1608115508938,RGB_219
1608115509084,1608115508972,RGB_220
1608115509117,1608115509006,RGB_221
1608115509150,1608115509040,RGB_222
1608115509185,1608115509075,RGB_223
1608115509218,1608115509109,RGB_224
1608115509251,1608115509143,RGB_225
1608115509285,1608115509177,RGB_226
1608115509318,1608115509211,RGB_227
1608115509352,1608115509246,RGB_228
1608115509385,1608115509280,RGB_229
1608115509419,1608115509314,RGB_230
1608115509452,1608115509348,RGB_231
1608115509485,1608115509383,RGB_232
1608115509519,1608115509417,RGB_233
1608115509552,1608115509451,RGB_234
1608115509585,1608115509485,RGB_235
1608115509619,1608115509520,RGB_236
1608115509653,1608115509554,RGB_237
1608115509686,1608115509588,RGB_238
1608115509720,1608115509622,RGB_239
1608115509754,1608115509656,RGB_240
1608115509786,1608115509691,RGB_241
1608115509821,1608115509725,RGB_242
1608115509853,1608115509759,RGB_243
1608115509887,1608115509793,RGB_244
1608115509927,1608115509828,RGB_245
1608115509961,1608115509862,RGB_246
1608115509986,1608115509896,RGB_247
1608115510028,1608115509930,RGB_248
1608115510054,1608115509965,RGB_249
1608115510088,1608115509999,RGB_250
1608115510121,1608115510033,RGB_251
1608115510155,1608115510067,RGB_252
1608115510188,1608115510102,RGB_253
1608115510222,1608115510136,RGB_254
1608115510254,1608115510170,RGB_255
1608115510287,1608115510204,RGB_256
1608115510322,1608115510239,RGB_257
1608115510354,1608115510273,RGB_258
1608115510388,1608115510307,RGB_259
1608115510422,1608115510342,RGB_260
1608115510455,1608115510376,RGB_261
1608115510489,1608115510410,RGB_262
1608115510522,1608115510444,RGB_263
1608115510555,1608115510479,RGB_264
1608115510589,1608115510513,RGB_265
1608115510623,1608115510547,RGB_266
1608115510655,1608115510581,RGB_267
1608115510690,1608115510616,RGB_268
1608115510723,1608115510650,RGB_269
1608115510757,1608115510684,RGB_270
1608115510790,1608115510718,RGB_271
1608115510823,1608115510753,RGB_272
1608115510857,1608115510787,RGB_273
1608115510890,1608115510821,RGB_274
1608115510924,1608115510856,RGB_275
1608115510965,1608115510890,RGB_276
1608115510998,1608115510924,RGB_277
1608115511027,1608115510958,RGB_278
1608115511058,1608115510992,RGB_279
1608115511092,1608115511026,RGB_280
1608115511125,1608115511061,RGB_281
1608115511158,1608115511095,RGB_282
1608115511192,1608115511129,RGB_283
1608115511226,1608115511163,RGB_284
1608115511260,1608115511197,RGB_285
1608115511292,1608115511231,RGB_286
1608115511325,1608115511266,RGB_287
1608115511393,1608115511300,RGB_288
1608115511426,1608115511334,RGB_289
1608115511460,1608115511368,RGB_290
1608115511493,1608115511402,RGB_291
1608115511526,1608115511436,RGB_292
1608115511560,1608115511470,RGB_293
1608115511594,1608115511505,RGB_294
1608115511627,1608115511539,RGB_295
1608115511660,1608115511573,RGB_296
1608115511706,1608115511607,RGB_297
1608115511760,1608115511641,RGB_298
1608115511794,1608115511675,RGB_299
1608115511827,1608115511709,RGB_300
1608115511861,1608115511744,RGB_301
1608115511894,1608115511778,RGB_302
1608115511927,1608115511812,RGB_303
1608115511961,1608115511846,RGB_304
1608115511996,1608115511879,RGB_305
1608115512028,1608115511913,RGB_306
1608115512061,1608115511947,RGB_307
1608115512095,1608115511981,RGB_308
1608115512128,1608115512015,RGB_309
1608115512161,1608115512049,RGB_310
1608115512194,1608115512084,RGB_311
1608115512228,1608115512118,RGB_312
1608115512262,1608115512152,RGB_313
1608115512295,1608115512186,RGB_314
1608115512329,1608115512221,RGB_315
1608115512362,1608115512255,RGB_316
1608115512396,1608115512289,RGB_317
1608115512430,1608115512323,RGB_318
1608115512464,1608115512358,RGB_319
1608115512496,1608115512392,RGB_320
1608115512530,1608115512426,RGB_321
1608115512563,1608115512460,RGB_322
1608115512596,1608115512494,RGB_323
1608115512630,1608115512529,RGB_324
