cpu_ts,rgb_frame_cnt,hw_rgb_fps,rgb_ts,hw_ir_counter,hw_ir_fps,ir_ts
1608115974233,0,0.000000,0,323,58.000000,1608115974214
1608115974250,0,0.000000,0,324,58.000000,1608115974231
1608115974267,0,0.000000,0,325,58.000000,1608115974247
1608115974284,0,0.000000,0,326,58.000000,1608115974264
1608115974300,0,0.000000,0,327,58.000000,1608115974281
1608115974317,0,0.000000,0,328,58.000000,1608115974298
1608115974334,0,0.000000,0,329,58.000000,1608115974314
1608115974351,0,0.000000,0,330,58.000000,1608115974331
1608115974367,0,0.000000,0,331,58.000000,1608115974348
1608115974384,0,0.000000,0,332,58.000000,1608115974364
1608115974401,0,0.000000,0,333,58.000000,1608115974381
1608115974418,0,0.000000,0,334,58.000000,1608115974398
1608115974435,0,0.000000,0,335,58.000000,1608115974415
1608115974451,0,0.000000,0,336,58.000000,1608115974431
1608115974468,0,0.000000,0,337,58.000000,1608115974448
1608115974485,0,0.000000,0,338,58.000000,1608115974465
1608115974502,0,0.000000,0,339,58.000000,1608115974482
1608115974519,0,0.000000,0,340,58.000000,1608115974498
1608115974535,0,0.000000,0,341,58.000000,1608115974515
1608115974552,0,0.000000,0,342,58.000000,1608115974532
1608115974569,0,0.000000,0,343,58.000000,1608115974548
1608115974586,0,0.000000,0,344,58.000000,1608115974565
1608115974603,0,0.000000,0,345,58.000000,1608115974582
1608115974620,0,0.000000,0,346,58.000000,1608115974599
1608115974636,0,0.000000,0,347,58.000000,1608115974615
1608115974653,0,0.000000,0,348,58.000000,1608115974632
1608115974670,0,0.000000,0,349,58.000000,1608115974649
1608115974687,0,0.000000,0,350,58.000000,1608115974666
1608115974704,0,0.000000,0,351,58.000000,1608115974682
1608115974720,0,0.000000,0,352,58.000000,1608115974699
1608115974737,0,0.000000,0,353,58.000000,1608115974716
1608115974754,0,0.000000,0,354,58.000000,1608115974733
1608115974771,0,0.000000,0,355,58.000000,1608115974749
1608115974788,0,0.000000,0,356,58.000000,1608115974766
1608115974804,0,0.000000,0,357,58.000000,1608115974783
1608115974821,0,0.000000,0,358,58.000000,1608115974799
1608115974838,0,0.000000,0,359,58.000000,1608115974816
1608115974855,0,0.000000,0,360,58.000000,1608115974833
1608115974871,0,0.000000,0,361,58.000000,1608115974850
1608115974888,0,0.000000,0,362,58.000000,1608115974866
1608115974905,0,0.000000,0,363,58.000000,1608115974883
1608115974922,0,0.000000,0,364,58.000000,1608115974900
1608115974939,0,0.000000,0,365,58.000000,1608115974917
1608115974955,0,0.000000,0,366,58.000000,1608115974933
1608115974972,0,0.000000,0,367,58.000000,1608115974950
1608115974989,0,0.000000,0,368,58.000000,1608115974967
1608115975006,0,0.000000,0,369,58.000000,1608115974984
1608115975022,0,0.000000,0,370,58.000000,1608115975000
