cpu_ts,ir_ts,left_fn,right_fn
1608115974237,1608115974214,IR_L_323,IR_R_323
1608115974254,1608115974231,IR_L_324,IR_R_324
1608115974270,1608115974247,IR_L_325,IR_R_325
1608115974287,1608115974264,IR_L_326,IR_R_326
1608115974303,1608115974281,IR_L_327,IR_R_327
1608115974320,1608115974298,IR_L_328,IR_R_328
1608115974337,1608115974314,IR_L_329,IR_R_329
1608115974354,1608115974331,IR_L_330,IR_R_330
1608115974370,1608115974348,IR_L_331,IR_R_331
1608115974387,1608115974364,IR_L_332,IR_R_332
1608115974404,1608115974381,IR_L_333,IR_R_333
1608115974421,1608115974398,IR_L_334,IR_R_334
1608115974438,1608115974415,IR_L_335,IR_R_335
1608115974455,1608115974431,IR_L_336,IR_R_336
1608115974473,1608115974448,IR_L_337,IR_R_337
1608115974488,1608115974465,IR_L_338,IR_R_338
1608115974505,1608115974482,IR_L_339,IR_R_339
1608115974522,1608115974498,IR_L_340,IR_R_340
1608115974539,1608115974515,IR_L_341,IR_R_341
1608115974556,1608115974532,IR_L_342,IR_R_342
1608115974572,1608115974548,IR_L_343,IR_R_343
1608115974589,1608115974565,IR_L_344,IR_R_344
1608115974606,1608115974582,IR_L_345,IR_R_345
1608115974623,1608115974599,IR_L_346,IR_R_346
1608115974640,1608115974615,IR_L_347,IR_R_347
1608115974657,1608115974632,IR_L_348,IR_R_348
1608115974673,1608115974649,IR_L_349,IR_R_349
1608115974690,1608115974666,IR_L_350,IR_R_350
1608115974708,1608115974682,IR_L_351,IR_R_351
1608115974724,1608115974699,IR_L_352,IR_R_352
1608115974741,1608115974716,IR_L_353,IR_R_353
1608115974759,1608115974733,IR_L_354,IR_R_354
1608115974774,1608115974749,IR_L_355,IR_R_355
1608115974791,1608115974766,IR_L_356,IR_R_356
1608115974807,1608115974783,IR_L_357,IR_R_357
1608115974825,1608115974799,IR_L_358,IR_R_358
1608115974841,1608115974816,IR_L_359,IR_R_359
1608115974858,1608115974833,IR_L_360,IR_R_360
1608115974875,1608115974850,IR_L_361,IR_R_361
1608115974891,1608115974866,IR_L_362,IR_R_362
1608115974908,1608115974883,IR_L_363,IR_R_363
1608115974925,1608115974900,IR_L_364,IR_R_364
1608115974942,1608115974917,IR_L_365,IR_R_365
1608115974959,1608115974933,IR_L_366,IR_R_366
1608115974975,1608115974950,IR_L_367,IR_R_367
1608115974992,1608115974967,IR_L_368,IR_R_368
1608115975009,1608115974984,IR_L_369,IR_R_369
1608115975025,1608115975000,IR_L_370,IR_R_370
1608115975042,1608115975017,IR_L_371,IR_R_371
1608115975059,1608115975034,IR_L_372,IR_R_372
1608115975076,1608115975051,IR_L_373,IR_R_373
1608115975093,1608115975067,IR_L_374,IR_R_374
1608115975109,1608115975084,IR_L_375,IR_R_375
1608115975126,1608115975101,IR_L_376,IR_R_376
1608115975143,1608115975118,IR_L_377,IR_R_377
1608115975160,1608115975134,IR_L_378,IR_R_378
1608115975177,1608115975151,IR_L_379,IR_R_379
1608115975193,1608115975168,IR_L_380,IR_R_380
1608115975210,1608115975185,IR_L_381,IR_R_381
1608115975227,1608115975201,IR_L_382,IR_R_382
1608115975244,1608115975218,IR_L_383,IR_R_383
1608115975264,1608115975235,IR_L_384,IR_R_384
1608115975282,1608115975252,IR_L_385,IR_R_385
1608115975299,1608115975268,IR_L_386,IR_R_386
1608115975315,1608115975285,IR_L_387,IR_R_387
1608115975331,1608115975302,IR_L_388,IR_R_388
1608115975348,1608115975319,IR_L_389,IR_R_389
1608115975365,1608115975335,IR_L_390,IR_R_390
1608115975382,1608115975352,IR_L_391,IR_R_391
1608115975400,1608115975369,IR_L_392,IR_R_392
1608115975417,1608115975385,IR_L_393,IR_R_393
1608115975432,1608115975402,IR_L_394,IR_R_394
1608115975450,1608115975419,IR_L_395,IR_R_395
1608115975467,1608115975436,IR_L_396,IR_R_396
1608115975484,1608115975452,IR_L_397,IR_R_397
1608115975501,1608115975469,IR_L_398,IR_R_398
1608115975517,1608115975486,IR_L_399,IR_R_399
1608115975534,1608115975502,IR_L_400,IR_R_400
1608115975551,1608115975519,IR_L_401,IR_R_401
1608115975568,1608115975536,IR_L_402,IR_R_402
1608115975585,1608115975553,IR_L_403,IR_R_403
1608115975602,1608115975569,IR_L_404,IR_R_404
1608115975617,1608115975586,IR_L_405,IR_R_405
1608115975634,1608115975603,IR_L_406,IR_R_406
1608115975650,1608115975619,IR_L_407,IR_R_407
1608115975667,1608115975636,IR_L_408,IR_R_408
1608115975684,1608115975653,IR_L_409,IR_R_409
1608115975701,1608115975670,IR_L_410,IR_R_410
1608115975717,1608115975686,IR_L_411,IR_R_411
1608115975734,1608115975703,IR_L_412,IR_R_412
1608115975752,1608115975720,IR_L_413,IR_R_413
1608115975769,1608115975737,IR_L_414,IR_R_414
1608115975786,1608115975753,IR_L_415,IR_R_415
1608115975801,1608115975770,IR_L_416,IR_R_416
1608115975818,1608115975787,IR_L_417,IR_R_417
1608115975835,1608115975803,IR_L_418,IR_R_418
1608115975852,1608115975820,IR_L_419,IR_R_419
1608115975868,1608115975837,IR_L_420,IR_R_420
1608115975885,1608115975854,IR_L_421,IR_R_421
1608115975902,1608115975870,IR_L_422,IR_R_422
1608115975919,1608115975887,IR_L_423,IR_R_423
1608115975936,1608115975904,IR_L_424,IR_R_424
1608115975952,1608115975921,IR_L_425,IR_R_425
1608115975969,1608115975937,IR_L_426,IR_R_426
1608115975986,1608115975954,IR_L_427,IR_R_427
1608115976002,1608115975971,IR_L_428,IR_R_428
1608115976019,1608115975987,IR_L_429,IR_R_429
1608115976038,1608115976004,IR_L_430,IR_R_430
1608115976053,1608115976021,IR_L_431,IR_R_431
1608115976070,1608115976038,IR_L_432,IR_R_432
1608115976087,1608115976054,IR_L_433,IR_R_433
1608115976103,1608115976071,IR_L_434,IR_R_434
1608115976120,1608115976088,IR_L_435,IR_R_435
1608115976137,1608115976105,IR_L_436,IR_R_436
1608115976154,1608115976121,IR_L_437,IR_R_437
1608115976171,1608115976138,IR_L_438,IR_R_438
1608115976187,1608115976155,IR_L_439,IR_R_439
1608115976204,1608115976171,IR_L_440,IR_R_440
1608115976221,1608115976188,IR_L_441,IR_R_441
1608115976237,1608115976205,IR_L_442,IR_R_442
1608115976254,1608115976222,IR_L_443,IR_R_443
1608115976276,1608115976238,IR_L_444,IR_R_444
1608115976293,1608115976255,IR_L_445,IR_R_445
1608115976310,1608115976272,IR_L_446,IR_R_446
1608115976327,1608115976289,IR_L_447,IR_R_447
1608115976348,1608115976305,IR_L_448,IR_R_448
1608115976360,1608115976322,IR_L_449,IR_R_449
1608115976377,1608115976339,IR_L_450,IR_R_450
1608115976394,1608115976355,IR_L_451,IR_R_451
1608115976411,1608115976372,IR_L_452,IR_R_452
1608115976427,1608115976389,IR_L_453,IR_R_453
1608115976444,1608115976406,IR_L_454,IR_R_454
1608115976461,1608115976422,IR_L_455,IR_R_455
1608115976478,1608115976439,IR_L_456,IR_R_456
1608115976495,1608115976456,IR_L_457,IR_R_457
1608115976511,1608115976472,IR_L_458,IR_R_458
1608115976528,1608115976489,IR_L_459,IR_R_459
1608115976545,1608115976506,IR_L_460,IR_R_460
1608115976562,1608115976523,IR_L_461,IR_R_461
1608115976579,1608115976539,IR_L_462,IR_R_462
1608115976595,1608115976556,IR_L_463,IR_R_463
1608115976612,1608115976573,IR_L_464,IR_R_464
1608115976629,1608115976589,IR_L_465,IR_R_465
1608115976646,1608115976606,IR_L_466,IR_R_466
1608115976662,1608115976623,IR_L_467,IR_R_467
1608115976679,1608115976640,IR_L_468,IR_R_468
1608115976696,1608115976656,IR_L_469,IR_R_469
1608115976713,1608115976673,IR_L_470,IR_R_470
1608115976730,1608115976690,IR_L_471,IR_R_471
1608115976747,1608115976707,IR_L_472,IR_R_472
1608115976763,1608115976723,IR_L_473,IR_R_473
1608115976780,1608115976740,IR_L_474,IR_R_474
1608115976797,1608115976757,IR_L_475,IR_R_475
1608115976814,1608115976773,IR_L_476,IR_R_476
1608115976830,1608115976790,IR_L_477,IR_R_477
1608115976847,1608115976807,IR_L_478,IR_R_478
1608115976864,1608115976824,IR_L_479,IR_R_479
1608115976881,1608115976840,IR_L_480,IR_R_480
1608115976898,1608115976857,IR_L_481,IR_R_481
1608115976915,1608115976874,IR_L_482,IR_R_482
1608115976931,1608115976890,IR_L_483,IR_R_483
1608115976948,1608115976907,IR_L_484,IR_R_484
1608115976965,1608115976924,IR_L_485,IR_R_485
1608115976982,1608115976941,IR_L_486,IR_R_486
1608115976999,1608115976957,IR_L_487,IR_R_487
1608115977015,1608115976974,IR_L_488,IR_R_488
1608115977034,1608115976991,IR_L_489,IR_R_489
1608115977050,1608115977007,IR_L_490,IR_R_490
1608115977067,1608115977024,IR_L_491,IR_R_491
1608115977084,1608115977041,IR_L_492,IR_R_492
1608115977099,1608115977058,IR_L_493,IR_R_493
1608115977116,1608115977074,IR_L_494,IR_R_494
1608115977133,1608115977091,IR_L_495,IR_R_495
1608115977150,1608115977108,IR_L_496,IR_R_496
1608115977166,1608115977125,IR_L_497,IR_R_497
1608115977183,1608115977141,IR_L_498,IR_R_498
1608115977201,1608115977158,IR_L_499,IR_R_499
1608115977218,1608115977175,IR_L_500,IR_R_500
1608115977234,1608115977191,IR_L_501,IR_R_501
1608115977251,1608115977208,IR_L_502,IR_R_502
1608115977268,1608115977225,IR_L_503,IR_R_503
1608115977290,1608115977242,IR_L_504,IR_R_504
1608115977307,1608115977258,IR_L_505,IR_R_505
1608115977324,1608115977275,IR_L_506,IR_R_506
1608115977341,1608115977292,IR_L_507,IR_R_507
1608115977358,1608115977308,IR_L_508,IR_R_508
1608115977374,1608115977325,IR_L_509,IR_R_509
1608115977391,1608115977342,IR_L_510,IR_R_510
1608115977408,1608115977359,IR_L_511,IR_R_511
1608115977425,1608115977375,IR_L_512,IR_R_512
1608115977442,1608115977392,IR_L_513,IR_R_513
1608115977458,1608115977409,IR_L_514,IR_R_514
1608115977475,1608115977425,IR_L_515,IR_R_515
1608115977492,1608115977442,IR_L_516,IR_R_516
1608115977510,1608115977459,IR_L_517,IR_R_517
1608115977526,1608115977475,IR_L_518,IR_R_518
1608115977543,1608115977492,IR_L_519,IR_R_519
1608115977560,1608115977509,IR_L_520,IR_R_520
1608115977577,1608115977526,IR_L_521,IR_R_521
1608115977593,1608115977542,IR_L_522,IR_R_522
1608115977616,1608115977559,IR_L_523,IR_R_523
1608115977630,1608115977576,IR_L_524,IR_R_524
1608115977646,1608115977592,IR_L_525,IR_R_525
1608115977670,1608115977609,IR_L_526,IR_R_526
1608115977685,1608115977626,IR_L_527,IR_R_527
1608115977702,1608115977642,IR_L_528,IR_R_528
1608115977719,1608115977659,IR_L_529,IR_R_529
1608115977734,1608115977676,IR_L_530,IR_R_530
1608115977751,1608115977693,IR_L_531,IR_R_531
1608115977768,1608115977709,IR_L_532,IR_R_532
1608115977785,1608115977726,IR_L_533,IR_R_533
1608115977801,1608115977743,IR_L_534,IR_R_534
1608115977818,1608115977759,IR_L_535,IR_R_535
1608115977835,1608115977776,IR_L_536,IR_R_536
1608115977851,1608115977793,IR_L_537,IR_R_537
1608115977868,1608115977809,IR_L_538,IR_R_538
1608115977885,1608115977826,IR_L_539,IR_R_539
1608115977902,1608115977843,IR_L_540,IR_R_540
1608115977919,1608115977859,IR_L_541,IR_R_541
1608115977936,1608115977876,IR_L_542,IR_R_542
1608115977952,1608115977893,IR_L_543,IR_R_543
1608115977969,1608115977910,IR_L_544,IR_R_544
1608115977986,1608115977926,IR_L_545,IR_R_545
1608115978003,1608115977943,IR_L_546,IR_R_546
1608115978019,1608115977960,IR_L_547,IR_R_547
1608115978036,1608115977976,IR_L_548,IR_R_548
1608115978053,1608115977993,IR_L_549,IR_R_549
1608115978069,1608115978010,IR_L_550,IR_R_550
1608115978086,1608115978026,IR_L_551,IR_R_551
1608115978103,1608115978043,IR_L_552,IR_R_552
