1;486,182,500,199,3;229,234,263,273,1;329,181,343,199,1;156,218,206,282,0;455,169,466,181,3;352,168,361,180,1;198,206,238,264,0;435,161,443,171,3;131,212,164,273,0;363,164,370,173,1;647,222,698,287,0;616,222,647,270,3;682,218,716,273,0;633,210,660,266,0;
2;487,182,501,199,3;229,234,263,273,1;329,182,343,199,1;157,218,206,282,0;455,169,466,181,3;198,206,238,264,0;352,167,361,179,1;436,161,444,171,3;131,212,164,273,0;363,164,370,173,1;644,222,696,286,0;617,222,648,270,3;683,220,718,272,0;
3;487,182,501,199,3;229,235,263,274,1;329,182,343,199,1;156,218,206,282,0;455,169,466,181,3;353,167,362,179,1;199,206,238,264,0;435,161,443,171,3;131,212,164,273,0;615,223,646,270,3;362,164,369,173,1;647,222,699,286,0;682,218,716,272,0;632,209,658,265,0;
4;486,183,500,200,3;229,234,263,273,1;330,182,343,199,1;157,218,206,282,0;454,169,465,181,3;198,206,238,264,0;353,167,362,179,1;435,161,443,171,3;130,212,163,273,0;362,164,369,173,1;647,222,699,287,0;616,222,647,270,3;684,219,717,273,0;632,209,658,265,0;
5;486,183,500,200,3;229,235,263,274,1;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;198,206,238,264,0;353,167,362,179,1;435,161,443,171,3;131,211,164,273,0;363,164,370,173,1;617,223,648,270,3;646,222,699,286,0;633,211,659,266,0;682,218,716,272,0;
6;229,235,263,274,1;486,183,500,200,3;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;199,205,238,263,0;353,167,362,179,1;435,161,443,171,3;131,212,164,273,0;646,223,698,286,0;362,164,369,173,1;615,222,646,271,3;683,220,718,273,0;633,210,659,267,0;
7;230,235,264,274,1;486,182,500,199,3;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;199,206,238,264,0;352,167,361,179,1;434,161,442,171,3;131,212,164,273,0;363,164,370,173,1;615,222,646,270,3;645,222,698,286,0;677,215,717,279,0;632,210,658,266,0;
8;486,182,500,199,3;230,234,264,273,1;329,182,343,199,1;157,218,206,282,0;455,169,466,181,3;199,206,238,264,0;352,167,361,179,1;436,161,444,171,3;131,212,164,273,0;363,164,370,173,1;646,222,699,286,0;617,223,647,270,3;684,219,718,273,0;632,210,658,265,0;
9;486,182,500,199,3;230,234,264,273,1;328,182,342,199,1;157,219,206,283,0;454,169,465,181,3;352,167,361,179,1;198,206,238,264,0;436,161,444,171,3;131,212,164,273,0;363,164,370,173,1;615,222,646,270,3;645,222,697,286,0;677,215,718,279,0;631,209,657,266,0;
10;487,182,501,199,3;230,235,264,274,1;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;198,206,238,264,0;352,167,361,179,1;434,161,442,171,3;130,212,163,273,0;616,224,647,271,3;363,164,370,173,1;647,222,698,287,0;632,209,658,265,0;676,215,717,279,0;
11;486,183,500,200,3;230,235,264,274,1;329,182,343,199,1;156,218,205,282,0;455,169,466,181,3;198,206,238,264,0;352,167,361,179,1;435,161,443,171,3;130,212,163,273,0;617,223,648,270,3;364,164,371,173,1;645,222,697,286,0;683,218,718,272,0;633,210,659,266,0;
12;486,182,500,199,3;230,235,264,274,1;329,182,343,199,1;157,218,206,282,0;455,169,466,181,3;199,206,238,264,0;352,167,361,179,1;435,161,443,171,3;131,212,164,273,0;363,164,370,173,1;648,222,700,287,0;616,223,647,272,3;682,219,716,273,0;
13;487,183,501,200,3;230,235,264,274,1;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;198,206,238,264,0;352,168,361,180,1;435,161,443,171,3;131,212,164,273,0;363,164,370,173,1;616,222,647,271,3;644,222,696,287,0;677,216,718,281,0;631,211,657,266,0;
14;486,183,500,200,3;229,235,263,274,1;330,182,343,199,1;157,218,206,282,0;455,169,466,181,3;198,206,238,264,0;352,168,361,180,1;436,161,444,171,3;131,211,164,273,0;363,164,370,173,1;616,222,647,270,3;646,222,698,286,0;683,219,717,273,0;632,211,658,266,0;
15;486,183,500,200,3;229,235,263,274,1;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;198,206,238,264,0;352,167,361,179,1;434,161,442,171,3;131,212,164,273,0;362,164,369,173,1;645,222,697,286,0;617,222,648,270,0;684,219,718,272,0;632,211,658,266,0;
16;486,182,500,199,3;230,235,264,274,1;329,182,343,199,1;157,218,206,282,0;454,169,465,181,3;198,206,238,264,0;353,167,362,179,1;435,161,443,171,3;130,212,163,273,0;363,165,370,174,1;617,222,648,270,3;646,222,697,287,0;675,215,716,279,0;632,209,658,265,0;
17;230,234,264,273,1;486,183,500,200,3;329,182,343,199,1;157,219,206,283,0;454,169,465,181,3;198,206,238,264,0;353,167,362,179,1;436,161,444,171,3;130,211,163,273,0;362,164,369,173,1;618,222,649,270,3;646,221,696,285,0;675,215,717,279,0;633,210,659,266,0;
18;487,183,501,200,3;229,235,263,274,1;329,182,343,199,1;157,219,206,283,0;454,169,465,181,3;198,206,238,264,0;353,167,362,179,1;435,161,443,171,3;130,212,163,273,0;363,165,370,174,1;617,222,648,270,3;675,215,716,279,0;645,222,697,286,0;633,210,659,266,0;
19;486,182,500,199,3;229,235,263,274,1;328,182,342,199,1;156,218,205,282,0;198,206,238,264,0;352,168,361,180,1;454,169,465,181,3;435,161,443,171,3;131,212,164,273,0;363,164,370,173,1;616,222,647,270,3;645,222,697,287,0;676,216,717,279,0;632,211,658,266,0;
