1;154,218,208,284,0;642,220,693,290,0;228,234,262,273,1;130,211,167,271,0;682,216,720,279,0;199,206,236,263,0;630,210,656,269,0;609,226,642,273,3;
2;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,273,0;682,216,720,278,0;200,206,237,263,0;630,210,656,269,0;610,223,642,271,3;
3;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,273,0;682,216,720,278,0;200,205,237,263,0;630,210,656,269,0;610,225,642,272,3;
4;154,217,208,283,0;642,221,693,290,0;228,234,262,273,1;129,211,166,272,0;199,206,236,263,0;682,215,720,277,0;630,210,657,269,0;610,224,642,272,3;
5;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;128,212,166,272,0;682,216,720,278,0;199,206,236,263,0;630,210,656,269,0;609,225,641,272,3;
6;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;200,206,237,263,0;682,216,720,278,0;630,210,656,269,0;611,223,643,271,3;
7;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,273,0;682,216,721,278,0;200,206,237,263,0;630,210,656,269,0;610,224,642,272,3;
8;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;200,206,237,263,0;682,215,720,277,0;630,210,656,269,0;609,226,641,272,3;
9;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;129,212,166,273,0;683,215,721,277,0;200,206,237,263,0;630,210,656,269,0;611,223,643,271,3;
10;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;128,211,166,271,0;682,216,721,278,0;200,206,237,263,0;629,210,655,269,0;610,224,642,271,3;
11;154,217,208,283,0;642,221,693,290,0;227,234,261,273,1;130,211,167,272,0;683,216,721,279,0;199,205,236,263,0;630,210,656,269,0;609,226,641,272,3;
12;154,217,208,283,0;642,221,693,290,0;228,234,262,273,1;130,212,167,272,0;682,216,720,278,0;200,206,237,263,0;629,210,655,269,0;609,225,641,272,3;
13;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;129,211,166,271,0;683,215,721,278,0;200,206,237,263,0;629,210,655,269,0;610,224,642,272,3;
14;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;682,216,720,278,0;199,206,236,263,0;630,210,657,268,0;610,224,642,271,3;
15;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;683,216,721,278,0;199,205,236,263,0;630,210,657,269,0;611,223,643,271,3;
16;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,273,0;682,215,720,278,0;200,205,237,263,0;630,210,656,268,0;609,225,642,272,3;
17;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;200,206,237,263,0;682,215,720,277,0;629,210,656,268,0;609,225,641,272,3;
18;154,217,208,283,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;199,206,236,263,0;682,215,720,278,0;629,210,656,268,0;611,222,643,270,3;
19;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;129,212,166,272,0;682,216,721,278,0;199,206,236,263,0;629,210,655,269,0;610,225,642,272,3;
20;154,218,208,284,0;642,221,693,290,0;227,234,261,273,1;129,211,166,271,0;199,206,236,263,0;682,215,720,277,0;630,210,656,269,0;610,223,642,271,3;
21;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,272,0;683,216,721,278,0;200,206,237,263,0;629,210,656,268,0;610,225,642,271,3;
22;154,218,208,284,0;642,221,693,290,0;227,234,261,273,1;130,212,167,273,0;682,216,720,278,0;200,205,237,263,0;630,210,656,269,0;610,225,642,272,3;
23;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;129,212,166,273,0;200,206,237,263,0;682,215,720,277,0;629,210,656,268,0;609,225,641,272,3;19,372,51,397,1;
24;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,273,0;682,216,720,279,0;199,205,236,263,0;629,210,655,268,0;609,223,641,271,3;19,373,51,398,1;
25;154,218,208,284,0;642,221,693,290,0;227,234,261,273,1;129,212,166,273,0;682,215,720,277,0;199,205,236,263,0;630,210,656,268,0;609,226,642,272,3;19,373,51,398,1;
26;154,218,208,284,0;228,234,262,273,1;642,221,692,290,0;129,211,166,271,0;200,206,237,263,0;682,215,720,277,0;629,210,655,269,0;609,225,641,272,3;
27;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,272,0;682,216,720,278,0;200,205,237,263,0;629,210,655,268,0;608,226,641,272,3;
28;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,212,167,272,0;682,215,720,278,0;199,206,236,263,0;629,210,656,269,0;609,225,642,272,3;
29;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;129,212,166,273,0;200,206,237,263,0;682,215,720,277,0;630,210,656,269,0;609,225,642,272,3;
30;154,218,208,284,0;642,221,693,290,0;227,234,261,273,1;130,212,167,272,0;200,206,237,263,0;682,215,720,277,0;630,210,656,269,0;610,223,642,271,3;18,372,50,397,1;
31;154,217,208,283,0;642,221,693,290,0;228,234,262,273,1;129,212,166,272,0;683,216,721,278,0;200,206,237,263,0;630,210,656,269,0;610,224,642,272,3;18,373,50,398,1;
32;154,217,208,283,0;642,221,693,290,0;227,234,261,273,1;130,211,167,271,0;682,216,721,278,0;199,205,236,263,0;629,210,655,269,0;609,225,641,272,3;19,372,51,397,1;
33;154,217,208,283,0;642,220,693,290,0;228,234,262,273,1;130,212,167,272,0;682,215,720,278,0;199,206,236,263,0;629,210,655,269,0;608,227,641,273,3;18,372,51,397,1;
34;154,217,208,283,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;682,215,720,278,0;200,206,237,263,0;629,210,655,269,0;609,225,641,272,3;18,373,51,398,1;
35;154,218,208,284,0;642,221,692,290,0;228,234,262,273,1;130,212,167,272,0;682,215,720,277,0;199,206,236,263,0;629,210,655,269,0;612,222,643,271,3;19,372,51,397,1;
36;154,218,208,284,0;642,221,692,290,0;228,234,262,273,1;130,211,167,271,0;200,206,237,263,0;682,215,720,277,0;630,210,656,268,0;610,224,642,271,3;18,372,50,397,1;
37;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;200,206,237,263,0;682,215,720,277,0;629,210,655,269,0;610,223,642,271,3;18,372,50,397,1;
38;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;682,216,720,278,0;200,206,237,263,0;629,210,655,269,0;609,223,641,271,3;18,373,50,398,1;
39;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;130,211,167,271,0;200,206,237,263,0;682,215,720,278,0;630,210,656,269,0;611,225,642,272,3;19,373,52,398,1;
40;154,217,208,283,0;642,221,692,290,0;228,234,262,273,1;128,212,166,273,0;200,206,237,263,0;682,216,720,278,0;630,210,656,269,0;609,226,641,273,3;
41;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;128,212,166,272,0;682,216,720,278,0;199,206,236,263,0;630,210,656,269,0;611,223,642,271,3;19,372,52,396,1;
42;154,218,208,284,0;642,221,693,290,0;228,234,262,273,1;129,211,166,271,0;682,216,720,279,0;200,206,237,263,0;630,210,656,269,0;608,227,641,273,3;18,372,50,397,1;
