cpu_ts,timestamp,acc_x,acc_y,acc_z,timestamp,gyro_x,gyro_y,gyro_z
1608115974233,1608115974217,0.343233,-9.306511,-1.814230,1608115974231,-0.001745,0.001745,0.000000
1608115974250,1608115974233,0.323619,-9.306511,-1.775004,1608115974249,-0.001745,0.001745,0.001745
1608115974267,1608115974249,0.343233,-9.267284,-1.794617,1608115974266,-0.001745,0.003491,0.003491
1608115974284,1608115974264,0.362846,-9.306511,-1.676937,1608115974282,0.000000,0.000000,0.001745
1608115974300,1608115974284,0.343233,-9.286898,-1.833843,1608115974299,-0.003491,-0.001745,0.003491
1608115974317,1608115974300,0.304006,-9.306511,-1.775004,1608115974316,-0.003491,0.000000,-0.001745
1608115974334,1608115974315,0.323619,-9.286898,-1.775004,1608115974332,-0.005236,0.003491,0.001745
1608115974351,1608115974331,0.284393,-9.267284,-1.676937,1608115974349,-0.005236,0.000000,0.001745
1608115974367,1608115974351,0.323619,-9.306511,-1.814230,1608115974366,-0.003491,0.005236,0.003491
1608115974384,1608115974366,0.304006,-9.267284,-1.716164,1608115974383,-0.003491,0.001745,0.001745
1608115974401,1608115974382,0.343233,-9.208445,-1.814230,1608115974401,0.000000,0.005236,0.000000
1608115974418,1608115974398,0.323619,-9.306511,-1.755390,1608115974416,-0.001745,0.001745,0.000000
1608115974435,1608115974417,0.323619,-9.384964,-1.775004,1608115974433,-0.003491,0.000000,0.000000
1608115974451,1608115974433,0.382459,-9.286898,-1.716164,1608115974450,0.000000,0.005236,0.000000
1608115974468,1608115974449,0.362846,-9.286898,-1.814230,1608115974466,-0.001745,0.003491,0.001745
1608115974485,1608115974468,0.402073,-9.267284,-1.814230,1608115974484,-0.001745,0.005236,-0.003491
1608115974502,1608115974484,0.323619,-9.286898,-1.735777,1608115974501,-0.001745,0.001745,0.000000
1608115974519,1608115974500,0.362846,-9.247671,-1.676937,1608115974517,0.001745,0.000000,0.001745
1608115974535,1608115974515,0.402073,-9.326124,-1.657324,1608115974534,-0.001745,0.000000,0.000000
1608115974552,1608115974531,0.382459,-9.267284,-1.716164,1608115974552,-0.003491,0.001745,0.001745
1608115974569,1608115974551,0.382459,-9.228058,-1.716164,1608115974568,-0.003491,0.001745,0.000000
1608115974586,1608115974566,0.323619,-9.306511,-1.716164,1608115974585,0.000000,0.001745,0.000000
1608115974603,1608115974582,0.343233,-9.286898,-1.814230,1608115974601,-0.005236,0.003491,0.000000
1608115974620,1608115974602,0.411879,-9.326124,-1.853457,1608115974618,0.000000,0.000000,0.000000
1608115974636,1608115974617,0.382459,-9.267284,-1.775004,1608115974635,-0.001745,0.001745,0.000000
1608115974653,1608115974633,0.323619,-9.306511,-1.833843,1608115974652,-0.001745,0.000000,0.000000
1608115974670,1608115974649,0.284393,-9.326124,-1.853457,1608115974668,-0.005236,0.005236,-0.001745
1608115974687,1608115974668,0.323619,-9.286898,-1.735777,1608115974686,-0.003491,0.001745,-0.001745
1608115974704,1608115974684,0.304006,-9.267284,-1.833843,1608115974702,-0.003491,0.006981,0.000000
1608115974720,1608115974700,0.284393,-9.247671,-1.775004,1608115974720,0.000000,0.003491,0.003491
1608115974737,1608115974715,0.382459,-9.286898,-1.657324,1608115974735,0.000000,0.000000,0.003491
1608115974754,1608115974735,0.304006,-9.306511,-1.735777,1608115974752,0.000000,0.001745,0.003491
1608115974771,1608115974751,0.284393,-9.365351,-1.775004,1608115974770,-0.001745,0.005236,0.000000
1608115974788,1608115974766,0.343233,-9.228058,-1.657324,1608115974786,0.000000,0.000000,0.000000
1608115974804,1608115974782,0.304006,-9.267284,-1.608291,1608115974803,0.000000,0.000000,0.000000
1608115974821,1608115974802,0.362846,-9.306511,-1.657324,1608115974820,-0.003491,0.000000,0.000000
1608115974838,1608115974817,0.343233,-9.345737,-1.735777,1608115974836,0.001745,0.000000,0.001745
1608115974855,1608115974833,0.323619,-9.365351,-1.833843,1608115974853,-0.003491,0.001745,-0.003491
1608115974871,1608115974849,0.362846,-9.188830,-1.676937,1608115974870,-0.005236,0.003491,0.000000
1608115974888,1608115974868,0.382459,-9.286898,-1.853457,1608115974887,-0.005236,0.000000,0.000000
1608115974905,1608115974884,0.323619,-9.306511,-1.794617,1608115974904,0.000000,0.001745,0.003491
1608115974922,1608115974900,0.343233,-9.326124,-1.775004,1608115974920,0.000000,0.003491,0.003491
1608115974939,1608115974916,0.362846,-9.267284,-1.775004,1608115974936,-0.001745,0.001745,0.000000
1608115974972,1608115974951,0.284393,-9.345737,-1.676937,1608115974970,-0.005236,0.000000,-0.001745
1608115974989,1608115974967,0.323619,-9.306511,-1.794617,1608115974988,-0.005236,0.006981,0.000000
1608115975006,1608115974983,0.343233,-9.306511,-1.775004,1608115975004,0.000000,0.001745,0.000000
1608115975022,1608115975003,0.323619,-9.267284,-1.892683,1608115975021,0.000000,0.000000,0.001745
1608115975039,1608115975019,0.402073,-9.267284,-1.755390,1608115975038,-0.003491,0.001745,-0.003491
1608115975056,1608115975035,0.343233,-9.286898,-1.696550,1608115975054,-0.001745,0.003491,0.000000
1608115975073,1608115975050,0.382459,-9.345737,-1.873070,1608115975071,-0.001745,0.000000,0.000000
1608115975090,1608115975070,0.304006,-9.345737,-1.833843,1608115975089,-0.003491,0.005236,0.000000
1608115975106,1608115975086,0.284393,-9.267284,-1.814230,1608115975105,-0.003491,0.003491,0.000000
