acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.153091,8.365281,0.000132,11.518504,0.000000,0
3.123725,9.121808,0.000135,12.245668,5.148163,0
3.122862,8.167998,0.000113,11.290973,4.420999,0
3.129391,8.123427,0.000115,11.252933,5.375694,0
3.119816,7.990850,0.000134,11.110800,5.413734,0
3.132187,7.987714,0.000116,11.120017,5.555867,0
3.089236,8.188927,0.000104,11.278267,5.546650,0
3.090451,7.910498,0.000218,11.001167,5.388400,0
3.088636,7.986543,0.000132,11.075311,5.665500,0
3.089928,7.960048,0.000141,11.050117,5.591356,0
3.084747,7.978560,0.000150,11.063457,5.616550,0
3.084882,8.091920,0.000134,11.176936,5.603210,0
3.085175,8.673829,0.000130,11.759134,5.489731,0
3.125499,8.009349,0.000132,11.134980,4.907533,0
3.093297,11.851183,0.000134,14.944614,5.531687,0
3.080195,8.413684,0.000044,11.493923,1.722053,0
3.117823,8.770263,0.000111,11.888197,5.172744,0
3.116595,8.987094,0.000237,12.103926,4.778470,0
3.145833,8.278335,0.000125,11.424293,4.562741,0
3.128702,8.304055,0.000147,11.432904,5.242374,0
3.164715,8.778132,0.000131,11.942978,5.233763,0
3.132927,9.073255,0.000152,12.206334,4.723689,0
3.099278,8.731586,0.000123,11.830987,4.460333,0
3.122130,9.044192,0.000127,12.166449,4.835680,0
3.117098,9.033045,0.000129,12.150272,4.500218,0
3.113611,9.031887,0.000441,12.145939,4.516395,0
3.077572,9.004599,0.000366,12.082537,4.520728,0
3.082842,7.963734,0.000111,11.046687,4.584130,0
3.119256,8.996177,0.000122,12.115555,5.619980,0
3.076128,8.834799,0.000321,11.911248,4.551112,0
3.105366,8.723807,0.000144,11.829317,4.755419,0
3.090140,9.900500,0.000146,12.990786,4.837350,0
3.111162,8.309130,0.000405,11.420697,3.675881,0
3.114539,8.022216,0.000260,11.137015,5.245970,0
3.114712,7.988074,0.000382,11.103168,5.529652,0
3.109759,8.725246,0.000143,11.835148,5.563499,0
3.107510,10.623748,0.000134,13.731392,4.831519,0
3.083317,10.941642,0.000223,14.025182,2.935275,0
3.100157,11.008222,0.000095,14.108474,2.641485,0
3.077353,9.065566,0.000124,12.143043,2.558193,0
3.091009,9.683132,0.000203,12.774344,4.523624,0
3.095038,9.735013,0.000137,12.830188,3.892323,0
3.102945,10.580461,0.000126,13.683532,3.836479,0
3.073728,3.394851,0.000096,6.468675,2.983135,0
3.109721,8.236124,0.000151,11.345996,10.197992,0
